what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1417077283422
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1417077283450
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1417077283450
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1417077283451
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1417077283451
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1417077283453
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1417077283454
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1417077283455
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1417077283478
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1417077283479
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1417077283499
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1417077283500
started,bundle,com.altera.sbtgui.core,14.0.0.209,"com.altera.sbtgui.core",1417077283501
started,bundle,com.altera.sbtgui.project,14.0.0.209,"com.altera.sbtgui.project",1417077283501
os,sysinfo,,,"win32",1417077283505
arch,sysinfo,,,"x86_64",1417077283505
ws,sysinfo,,,"win32",1417077283505
locale,sysinfo,,,"zh_CN",1417077283505
processors,sysinfo,,,"2",1417077283505
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1417077283505
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1417077283505
java.specification.name,sysinfo,,,"Java Platform API Specification",1417077283505
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1417077283505
java.specification.version,sysinfo,,,"1.6",1417077283505
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1417077283505
java.version,sysinfo,,,"1.6.0_23",1417077283505
java.vm.info,sysinfo,,,"mixed mode",1417077283505
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1417077283505
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1417077283505
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1417077283505
java.vm.specification.version,sysinfo,,,"1.0",1417077283505
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1417077283505
java.vm.version,sysinfo,,,"19.0-b09",1417077283505
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1417077283840
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1417077283885
started,bundle,com.altera.sbtgui.integration,14.0.0.209,"com.altera.sbtgui.integration",1417077284025
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1417077284036
started,bundle,com.altera.systemconsole,14.0.0.209,"com.altera.systemconsole",1417077284098
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1417077284183
started,bundle,com.altera.utilities,14.0.0.209,"com.altera.utilities",1417077284279
started,bundle,com.altera.systemconsole.designs.plugin,14.0.0.209,"com.altera.systemconsole.designs.plugin",1417077284417
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1417077284787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417077285390
started,bundle,com.altera.sbtgui.launch,14.0.0.209,"com.altera.sbtgui.launch",1417077287612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417077289558
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1417077292667
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1417077292943
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1417077295255
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1417077297343
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1417077300770
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1417077302185
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1417077302575
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1417077302594
started,bundle,com.altera.sbt4e.launch,14.0.0.209,"com.altera.sbt4e.launch",1417077302643
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1417077307161
