what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417164402208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417164408288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417164509454
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1417164641575
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1417164641905
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1417164641935
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1417164642197
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1417164642287
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1417164645221
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417164678149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417164701447
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1417164702439
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1417164702910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417164703035
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1417164727001
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1417164735357
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1417164735359
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1417164735360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417164744439
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1417164749759
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1417164752481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417164752773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417164756613
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1417164757563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417164758683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417164761013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417164768741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417164769521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417164770321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417164771161
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1417164782083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1417164783937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417164784527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417164991009
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1417164993629
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1417164996761
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1417164997461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417164997743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417165004221
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1417165005141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417165005461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417165125217
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1417165126937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1417165128177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417165129877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417165178670
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1417165200480
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1417165208162
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1417165208692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417165208994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417165215334
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1417165216978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1417165218150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417165221220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417165322038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417165323318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417165460212
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1417165462452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417165462786
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417165466780
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1417165467682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417165564364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417165915058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417165916350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417165917310
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417165917460
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1417165917780
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1417165918154
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1417165918164
stopped,bundle,com.altera.debug.cdi.gdb.plugin,14.0.0.209,"com.altera.debug.cdi.gdb.plugin",1417165918164
stopped,bundle,com.altera.sbtgui.launch,14.0.0.209,"com.altera.sbtgui.launch",1417165918164
stopped,bundle,com.altera.sbt4e.launch,14.0.0.209,"com.altera.sbt4e.launch",1417165918164
stopped,bundle,com.altera.sbtgui.ui,14.0.0.209,"com.altera.sbtgui.ui",1417165918164
stopped,bundle,com.altera.sbtgui.project,14.0.0.209,"com.altera.sbtgui.project",1417165918164
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1417165918164
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1417165918164
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1417165918164
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1417165918220
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1417165918221
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1417165918222
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1417165918223
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1417165918223
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1417165918223
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1417165918316
