period = 500000, pulse_cnt = 83 
period = 1000000, pulse_cnt = 185 
period = 1500000, pulse_cnt = 286 
period = 2000000, pulse_cnt = 380 
period = 2500000, pulse_cnt = 480 
period = 3000000, pulse_cnt = 544 
period = 3500000, pulse_cnt = 622 
period = 4000000, pulse_cnt = 706 
period = 4500000, pulse_cnt = 805 
period = 5000000, pulse_cnt = 896 
period = 5500000, pulse_cnt = 980 
period = 6000000, pulse_cnt = 1087 
period = 6500000, pulse_cnt = 1207 
period = 7000000, pulse_cnt = 1293 
period = 7500000, pulse_cnt = 1399 
period = 8000000, pulse_cnt = 1492 
period = 8500000, pulse_cnt = 1573 
period = 9000000, pulse_cnt = 1702 
period = 9500000, pulse_cnt = 1796 
period = 10000000, pulse_cnt = 1892 
period = 10500000, pulse_cnt = 1981 
period = 11000000, pulse_cnt = 2083 
period = 11500000, pulse_cnt = 2182 
period = 12000000, pulse_cnt = 2255 
period = 12500000, pulse_cnt = 2333 
period = 13000000, pulse_cnt = 2436 
period = 13500000, pulse_cnt = 2560 
period = 14000000, pulse_cnt = 2653 
period = 14500000, pulse_cnt = 2759 
period = 15000000, pulse_cnt = 2860 
period = 15500000, pulse_cnt = 2945 
period = 16000000, pulse_cnt = 3036 
period = 16500000, pulse_cnt = 3140 
period = 17000000, pulse_cnt = 3247 
period = 17500000, pulse_cnt = 3370 
period = 18000000, pulse_cnt = 3487 
period = 18500000, pulse_cnt = 3632 
period = 19000000, pulse_cnt = 3734 
period = 19500000, pulse_cnt = 3799 
period = 20000000, pulse_cnt = 3887 
period = 20500000, pulse_cnt = 3980 
period = 21000000, pulse_cnt = 4108 
period = 21500000, pulse_cnt = 4205 
period = 22000000, pulse_cnt = 4303 
period = 22500000, pulse_cnt = 4363 
period = 23000000, pulse_cnt = 4472 
period = 23500000, pulse_cnt = 4600 
period = 24000000, pulse_cnt = 4694 
period = 24500000, pulse_cnt = 4792 
period = 25000000, pulse_cnt = 4877 
period = 25500000, pulse_cnt = 4994 
period = 26000000, pulse_cnt = 5118 
period = 26500000, pulse_cnt = 5221 
period = 27000000, pulse_cnt = 5326 
period = 27500000, pulse_cnt = 5436 
period = 28000000, pulse_cnt = 5571 
period = 28500000, pulse_cnt = 5669 
period = 29000000, pulse_cnt = 5761 
period = 29500000, pulse_cnt = 5842 
period = 30000000, pulse_cnt = 5966 
period = 30500000, pulse_cnt = 6070 
period = 31000000, pulse_cnt = 6138 
period = 31500000, pulse_cnt = 6252 
period = 32000000, pulse_cnt = 6333 
period = 32500000, pulse_cnt = 6440 
period = 33000000, pulse_cnt = 6548 
period = 33500000, pulse_cnt = 6661 
period = 34000000, pulse_cnt = 6772 
period = 34500000, pulse_cnt = 6901 
period = 35000000, pulse_cnt = 6998 
period = 35500000, pulse_cnt = 7143 
period = 36000000, pulse_cnt = 7232 
period = 36500000, pulse_cnt = 7304 
period = 37000000, pulse_cnt = 7402 
period = 37500000, pulse_cnt = 7534 
period = 38000000, pulse_cnt = 7630 
period = 38500000, pulse_cnt = 7728 
period = 39000000, pulse_cnt = 7811 
period = 39500000, pulse_cnt = 7929 
period = 40000000, pulse_cnt = 8019 
period = 40500000, pulse_cnt = 8154 
period = 41000000, pulse_cnt = 8253 
period = 41500000, pulse_cnt = 8357 
period = 42000000, pulse_cnt = 8459 
period = 42500000, pulse_cnt = 8563 
period = 43000000, pulse_cnt = 8641 
period = 43500000, pulse_cnt = 8737 
period = 44000000, pulse_cnt = 8867 
period = 44500000, pulse_cnt = 8950 
period = 45000000, pulse_cnt = 9048 
period = 45500000, pulse_cnt = 9138 
period = 46000000, pulse_cnt = 9231 
period = 46500000, pulse_cnt = 9338 
period = 47000000, pulse_cnt = 9452 
period = 47500000, pulse_cnt = 9545 
period = 48000000, pulse_cnt = 9627 
period = 48500000, pulse_cnt = 9765 
period = 49000000, pulse_cnt = 9865 
period = 49500000, pulse_cnt = 9995 
period = 50000000, pulse_cnt = 10081 
period = 50500000, pulse_cnt = 10211 
period = 51000000, pulse_cnt = 10302 
period = 51500000, pulse_cnt = 10415 
period = 52000000, pulse_cnt = 10485 
period = 52500000, pulse_cnt = 10580 
period = 53000000, pulse_cnt = 10664 
period = 53500000, pulse_cnt = 10788 
period = 54000000, pulse_cnt = 10870 
period = 54500000, pulse_cnt = 10977 
period = 55000000, pulse_cnt = 11076 
period = 55500000, pulse_cnt = 11154 
period = 
